image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D4_17,D4,17,-99,-99,0,1,0,7,1,0
D4_18,D4,18,-99,-99,0,1,0,0,0,0
D4_19,D4,19,0,0,2,1,0,7,1,1
D4_20,D4,20,1,0,0,0,0,3,1,1
D4_21,D4,21,0,0,0,1,0,7,1,0
D4_22,D4,22,0,0,2,1,0,7,1,1
D4_23,D4,23,0,0,0,0,0,2,1,1
D4_24,D4,24,0,0,0,1,0,2,1,1
D4_25,D4,25,0,0,0,0,0,2,2,1
D4_26,D4,26,0,0,0,1,0,7,2,1
D4_27,D4,27,0,0,0,1,0,7,2,1
D4_28,D4,28,0,0,0,1,0,7,2,1
D4_29,D4,29,0,0,2,1,0,0,0,0
D4_30,D4,30,0,0,2,0,0,0,0,1
D4_31,D4,31,0,0,2,0,0,3,1,1
D4_32,D4,32,0,0,0,0,0,3,1,0
D4_33,D4,33,0,0,2,1,0,0,0,0
D4_34,D4,34,1,0,0,0,0,0,0,1
D4_35,D4,35,1,0,0,0,0,7,1,1
D4_36,D4,36,1,0,0,0,0,4,1,1
D4_37,D4,37,-99,-99,0,1,0,7,1,1
D4_38,D4,38,1,0,0,0,1,4,2,0
D4_39,D4,39,0,0,0,1,0,7,2,1
D4_40,D4,40,0,0,0,0,0,7,2,1
D4_41,D4,41,0,0,0,0,0,7,2,1
D4_42,D4,42,1,0,0,1,1,4,2,1
D4_43,D4,43,1,0,0,0,1,4,2,1
D4_44,D4,44,0,0,0,1,0,7,1,1
D4_45,D4,45,1,0,0,0,0,7,1,1
D4_46,D4,46,0,0,0,1,0,7,1,1
D4_47,D4,47,1,0,0,0,1,4,2,1
D4_48,D4,48,0,0,2,0,0,2,2,1
D4_49,D4,49,0,0,0,0,0,2,1,1
D4_50,D4,50,0,0,0,0,0,2,2,1
D4_51,D4,51,0,0,2,0,0,2,2,1
D4_52,D4,52,0,0,0,0,0,2,2,1
D4_53,D4,53,0,0,2,0,0,2,2,1
D4_54,D4,54,0,0,0,0,0,2,2,1
D4_55,D4,55,0,0,0,0,0,2,2,1
D4_56,D4,56,0,0,0,0,0,2,2,1
D4_57,D4,57,-99,-99,0,1,0,7,1,0
D4_58,D4,58,0,0,0,0,0,0,0,0
D4_59,D4,59,1,0,0,0,0,0,0,0
D4_60,D4,60,-99,-99,5,0,0,0,0,0
D4_61,D4,61,0,0,2,0,0,0,0,0
D4_62,D4,62,0,0,0,1,0,0,0,0
D4_63,D4,63,0,1,5,0,0,0,0,0
D4_64,D4,64,1,5,5,0,0,0,0,1
D4_65,D4,65,1,0,0,0,0,6,1,0
D4_66,D4,66,1,0,0,0,0,6,0,0
D4_67,D4,67,1,0,0,0,0,6,1,0
D4_68,D4,68,1,0,0,0,0,0,0,0
D4_69,D4,69,1,0,0,0,0,0,0,0
D4_70,D4,70,1,0,0,0,0,6,1,0
D4_71,D4,71,1,0,0,1,0,0,0,0
D4_72,D4,72,1,0,0,0,0,6,1,0
D4_73,D4,73,1,0,0,1,0,0,0,0
D4_74,D4,74,0,0,0,0,0,0,0,0
D4_75,D4,75,0,0,1,0,0,0,0,0
D4_76,D4,76,1,0,0,0,0,0,0,0
D4_77,D4,77,1,0,0,0,0,0,0,0
D4_78,D4,78,1,0,8,0,0,4,1,0
D4_79,D4,79,1,0,0,0,0,0,0,1
D4_80,D4,80,1,0,0,0,0,0,0,0
D4_90,D4,81,0,0,0,0,1,5,2,0
D4_91,D4,82,0,0,0,0,1,5,2,0
D4_92,D4,83,0,0,0,0,1,5,2,0
D4_93,D4,84,1,0,8,0,1,4,2,2
D4_94,D4,85,1,0,8,0,0,0,0,0
