"image","magazine_id","time","image_number","in_out","explicit","symbol","weapon","gruesome","narrative","strength","caption","outgroup","ingroup","crisis","solution","jihad","utopia","punish","unity","outplot","sinful","victim","occupy"
"D2_58","D2",2,58,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D2_59","D2",2,59,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_60","D2",2,60,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
"D2_61","D2",2,61,0,0,2,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_62","D2",2,62,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_63","D2",2,63,1,1,0,0,0,7,2,1,1,0,0,1,1,0,0,0,0,0,0,0
"D2_64","D2",2,64,1,0,0,1,0,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_65","D2",2,65,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_66","D2",2,66,-99,-99,2,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"D2_67","D2",2,67,1,0,0,1,0,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0
"D2_68","D2",2,68,1,1,0,0,0,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D2_69","D2",2,69,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D2_70","D2",2,70,0,0,0,1,0,3,2,1,0,1,0,1,0,0,0,1,0,0,0,0
"D2_71","D2",2,71,0,0,0,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D2_72","D2",2,72,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_73","D2",2,73,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D2_74","D2",2,74,0,0,2,0,0,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0
"D3_1","D3",3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_2","D3",3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_3","D3",3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"D3_4","D3",3,4,-99,-99,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"D3_5","D3",3,5,0,0,8,1,1,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0
"D3_6","D3",3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_7","D3",3,7,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_8","D3",3,8,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D3_9","D3",3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D3_10","D3",3,10,-99,-99,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D3_11","D3",3,11,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
